Player TS 3PAr FTr ORB DRB TRB AST STL BLK TOV G
Anthony Brown 0.427 0.556 0.159 1.6 11.3 6.3 4.8 1.2 0.7 10 29
Lorenzo Brown 0.374 0.32 0.16 0 12.8 6.2 28 2.4 1.3 25.2 8
Markel Brown 0.5 0.376 0.292 2.6 11.5 7 13.9 2 1.2 12.9 62
Kobe Bryant 0.469 0.42 0.252 2.3 12.3 7.1 19.1 1.7 0.5 9.4 66
Chase Budinger 0.514 0.36 0.234 5 12.6 8.8 10.2 1.7 0.9 14.3 66
Chase Budinger 0.502 0.356 0.247 4.7 13.4 9.1 9.9 2 1 12.6 49
Chase Budinger 0.567 0.378 0.178 6.4 9.4 7.9 11.4 0.7 0.4 21.1 17
Reggie Bullock 0.583 0.541 0.153 3.4 14.3 8.6 9.2 1.2 0.4 7.1 37
Trey Burke 0.507 0.404 0.129 1.5 8 4.8 19.7 1.4 0.4 10.7 64
Alec Burks 0.52 0.237 0.422 2.4 13.6 8 13.9 1.2 0.4 11.4 31
Caron Butler 0.49 0.305 0.203 3.1 10.4 6.8 8.3 2.5 0.5 4.5 17
Jimmy Butler 0.562 0.198 0.459 3.4 11.6 7.6 21.4 2.2 1.3 9.6 67
Rasual Butler 0.558 0.471 0.154 0.8 13.5 7.4 7.7 1.5 4.1 6.7 46
Bruno Caboclo 0.125 0.583 0 2.7 2.6 2.7 3.2 2.4 1.9 25 6
Jose Calderon 0.571 0.446 0.105 1.2 11 6.2 22.4 1.6 0.3 15.4 72
Kentavious Caldwell-Pope 0.521 0.384 0.238 2.6 8.6 5.5 7.8 2 0.5 9 76
Isaiah Canaan 0.528 0.672 0.249 1.1 8.8 4.8 11.3 1.4 0.5 10.2 77
Clint Capela 0.553 0.003 0.531 14.4 22.7 18.5 5.1 2 5.2 10.9 77
DeMarre Carroll 0.49 0.437 0.185 4.6 13.1 8.9 5.5 2.9 0.6 8.8 26
Vince Carter 0.52 0.493 0.245 3.4 13.6 8.3 8.9 1.9 1.5 8.4 60
Michael Carter-Williams 0.497 0.099 0.292 3.4 15.7 9.6 26.6 2.5 2.1 19.6 54
Omri Casspi 0.587 0.441 0.256 3.4 20.1 11.8 7.5 1.4 0.7 12 69
Willie Cauley-Stein 0.588 0.006 0.369 10.3 16.6 13.5 3.8 1.6 3.8 10.5 66
Mario Chalmers 0.561 0.336 0.59 1.9 11.5 6.5 26.6 3.3 0.9 16.4 61
Mario Chalmers 0.437 0.344 0.406 1 11.9 6.6 22.3 3.4 0.6 19.3 6
Mario Chalmers 0.57 0.335 0.604 2 11.4 6.5 27 3.3 0.9 16.2 55
Tyson Chandler 0.606 0.003 0.545 11.5 27.5 19.3 6 1.1 2.2 19.3 66
Rakeem Christmas 1 0 0 18.3 0 9.1 0 0 0 0 1
Ian Clark 0.544 0.416 0.168 2.6 9.7 6.3 15.3 1.4 1.7 16.5 66
Coty Clarke 0.75 0.5 0 0 18 8.8 0 0 0 20 3
Jordan Clarkson 0.516 0.291 0.186 3.8 9.6 6.6 13.8 1.7 0.2 10.2 79
Norris Cole 0.465 0.211 0.134 0.9 13.5 7 22 1.5 0.3 12.8 45
Darren Collison 0.591 0.28 0.291 1.4 6.8 4.1 21.7 1.6 0.1 12.9 74
Nick Collison 0.498 0.018 0.303 11.2 15.2 13.3 9.6 1.1 1.7 28.8 59
Mike Conley 0.538 0.309 0.329 1.6 9.3 5.3 32.7 2 0.8 9.5 56
Pat Connaughton 0.352 0.429 0.102 8.3 15.9 12.1 9.9 0.7 0 16.3 34
Chris Copeland 0.462 0.706 0.137 0.7 6.5 3.7 10.3 0.7 0 10 24
Bryce Cotton 0.4 0.3 0 0 0 0 10.8 3.7 0 33.3 8
Bryce Cotton 0.25 0.375 0 0 0 0 12.7 4.4 0 38.5 3
Bryce Cotton 1 0 0 0 0 0 0 0 0 0 5
DeMarcus Cousins 0.538 0.158 0.498 7.7 28.2 18 17 2.2 3.3 13.3 65
Robert Covington 0.543 0.677 0.249 3.6 20.9 12 8.4 2.7 1.6 15.3 67
Allen Crabbe 0.572 0.42 0.167 1.4 9.7 5.6 7.2 1.5 0.6 8.1 81
Jamal Crawford 0.529 0.366 0.289 1 6.3 3.7 14 1.2 0.4 9.6 79
Jae Crowder 0.565 0.446 0.294 3.2 14.2 8.6 8.9 2.7 1.2 8.3 73
Dante Cunningham 0.54 0.422 0.199 3.1 10.4 6.6 5.6 1.1 1.4 8.4 80
Jared Cunningham 0.464 0.371 0.524 0.8 9.6 5.3 6.9 1.8 0.4 14 44
Jared Cunningham 0.464 0.352 0.527 1 8.2 4.6 7.6 1.7 0.5 13.8 40
Jared Cunningham 0.468 0.5 0.5 0 18.5 9.3 2.5 1.9 0 14.9 4
Seth Curry 0.603 0.496 0.241 1.4 7.9 4.7 14.2 1.5 0.4 12.7 44
Stephen Curry 0.669 0.554 0.25 2.9 13.6 8.6 33.7 3 0.4 12.9 79
Troy Daniels 0.634 0.652 0.048 1.6 11.6 6.5 7.6 1.2 0.5 11.2 43
Anthony Davis 0.559 0.095 0.379 6.4 26.4 16.1 10 1.8 4.7 8.4 61
Ed Davis 0.616 0 0.605 14.4 24.2 19.3 7.7 1.7 3.3 13 81
Branden Dawson 0.46 0 0.2 7.6 7.4 7.5 0 0 2.7 0 6
Dewayne Dedmon 0.606 0 0.429 10.4 25.7 17.9 2.7 1.6 5.4 13.2 58
Bryce Dejean-Jones 0.505 0.464 0.304 3.1 16.5 9.5 7.7 1.8 0.6 12.3 14
Matthew Dellavedova 0.527 0.468 0.129 2 7.8 4.9 26.2 1.2 0.4 17.7 76
Luol Deng 0.549 0.344 0.258 5.3 15.4 10.5 9 1.6 0.9 8.9 74
DeMar DeRozan 0.55 0.101 0.474 2.7 11.5 7.1 20.8 1.5 0.6 9.5 78
Boris Diaw 0.582 0.18 0.198 4.9 13.9 9.6 18.4 1 1.2 18.9 76
Gorgui Dieng 0.601 0.035 0.428 8.3 22.1 15.3 10.1 2.1 3.5 16.9 82
Spencer Dinwiddie 0.423 0.185 0.611 2.6 9.3 5.8 20.9 1 0 9.3 12
Toney Douglas 0.543 0.456 0.222 2.1 10.7 6.3 19.1 2.8 0.3 11.6 61
Goran Dragic 0.537 0.234 0.189 2.7 10.4 6.6 28.7 1.5 0.6 16.3 72
Andre Drummond 0.499 0.006 0.553 15.6 34.2 24.5 4.4 2.3 3.2 10.5 81
Jared Dudley 0.602 0.489 0.201 2.8 12.6 7.6 11.4 1.7 0.7 13.1 81
Duje Dukan 0.3 0.5 0 9.1 9 9 5.6 2 0 0 1
Tim Duncan 0.523 0.005 0.297 8.8 23.8 16.6 15.3 1.6 3.9 15.3 61
Mike Dunleavy 0.543 0.527 0.197 1.2 11 6.2 8.1 1 1 11.3 31
Kevin Durant 0.634 0.348 0.361 2 21.8 12.4 24.2 1.3 2.5 13.5 72
Cleanthony Early 0.371 0.375 0.1 2.9 15.4 9.2 5.7 0.7 1.5 17.7 17
Jarell Eddie 0.46 0.723 0.123 1.5 16.3 8.8 5 1.7 0.6 1.4 26
Wayne Ellington 0.498 0.478 0.112 1.4 10.9 6.1 7.8 1.5 0.3 7.1 76
Monta Ellis 0.504 0.276 0.202 1.7 9.1 5.4 22.2 2.7 1.1 15.4 81
James Ennis 0.621 0.513 0.301 6.9 7.4 7.1 10.1 2.4 1.3 12.9 22
James Ennis 0 0 0 0 0 0 18 0 0 0 3
James Ennis 0.46 0.615 0.769 10.9 8.9 10 7.6 5.1 4.6 10.3 10
James Ennis 0.647 0.5 0.24 6.5 7.3 6.9 10.3 2.1 0.9 13.3 9
Tyler Ennis 0.51 0.209 0.182 2.3 10.7 6.6 21.9 1.9 0.1 18.6 46
Jeremy Evans 0.62 0.333 0.438 4.8 18.8 11.8 1.2 1.2 3 10.9 30
Tyreke Evans 0.534 0.271 0.296 2.8 16.4 9.3 34.6 2.1 0.9 17.1 25
Festus Ezeli 0.559 0 0.579 13.5 21.9 18 5.8 1.1 4.8 11.7 46
Kenneth Faried 0.577 0.003 0.355 15.1 23 19 8.1 0.9 2.9 11.2 67
Jordan Farmar 0.527 0.45 0.1 1.5 8.6 4.9 20.6 2.7 0.6 14.7 12
Derrick Favors 0.551 0.005 0.313 10 19.6 14.8 8.9 2 3.9 10.1 62
Cristiano Felicio 0.601 0.056 0.486 10 23.1 16.7 12.1 0.9 3 12.9 31
Raymond Felton 0.502 0.312 0.258 1.8 11.1 6.5 20.3 1.6 0.6 13.7 80
Evan Fournier 0.587 0.42 0.256 1.4 8.4 4.9 12.8 1.9 0.1 11.4 79
Randy Foye 0.461 0.519 0.154 1.6 8.8 5.2 14.1 1.2 1.4 14.3 81
Randy Foye 0.457 0.508 0.141 1.6 9.4 5.4 15.6 1.2 1.2 14.1 54
Randy Foye 0.469 0.544 0.181 1.6 7.8 4.9 11.3 1.1 1.7 14.8 27
Tim Frazier 0.499 0.21 0.323 3.8 12.8 8.2 33.3 2.2 0.2 19.9 51
Tim Frazier 0.383 0.283 0.25 4.4 11.2 7.8 21.3 1.8 0.3 28.8 35
Tim Frazier 0.539 0.183 0.349 3.4 13.7 8.4 40.3 2.4 0.2 16.3 16
Jimmer Fredette 0.625 0.4 1 0 0 0 7.7 2.8 0 21.7 6
Jimmer Fredette 0.25 0.25 0 0 0 0 10.7 3.8 0 20 4
Jimmer Fredette 1.094 1 5 0 0 0 0 0 0 23.8 2
Channing Frye 0.586 0.677 0.101 3.2 18.6 10.9 8.7 1.2 1.9 10.6 70
Channing Frye 0.586 0.651 0.113 3.3 17.6 10.4 8.4 1.4 2.2 13.3 44
Channing Frye 0.586 0.708 0.087 3.1 20.4 11.8 9.1 0.9 1.5 7.2 26
Danilo Gallinari 0.582 0.341 0.617 3.1 14 8.5 11.8 1.1 0.8 8 53
Langston Galloway 0.49 0.381 0.194 2.3 13 7.7 15.7 1.9 0.8 8.7 82
Kevin Garnett 0.491 0.009 0.183 3.2 27.9 15.7 16.4 2.5 1.5 11.4 38
Marc Gasol 0.528 0.004 0.347 3.5 20.2 11.5 18.9 1.4 3.6 12.7 52
Pau Gasol 0.529 0.069 0.29 7.3 28.7 18.2 21.7 0.9 4.7 12.8 72
Rudy Gay 0.538 0.214 0.252 4.7 15.9 10.4 8 2 1.7 11.1 70
Alonzo Gee 0.572 0.235 0.259 3.9 13 8.3 6.2 1.9 0.7 16.2 73
