Player TS 3PAr FTr ORB DRB TRB AST STL BLK TOV G
James Jones 0.58 0.732 0.183 2 10.2 6.1 4.5 1.2 1.8 7.8 48
Terrence Jones 0.519 0.215 0.316 6.5 15.9 11.1 6.3 1.1 3.1 10.5 50
Tyus Jones 0.45 0.34 0.25 1.4 8 4.8 27.7 2.7 0.4 16 37
DeAndre Jordan 0.628 0.002 1.219 11.4 32.7 22.2 5.3 1 5.4 12.1 77
Cory Joseph 0.512 0.188 0.297 2.2 9.4 5.9 19.3 1.6 0.8 13.4 80
Chris Kaman 0.496 0.093 0.07 6.8 16.5 11.6 15.8 0.4 0.7 15.3 16
Frank Kaminsky 0.513 0.385 0.282 4.4 17.2 10.7 9 1.1 2 8.9 81
Enes Kanter 0.626 0.029 0.349 16.7 24.9 21 3.1 0.7 1.5 12.2 82
Sergey Karasev 0.562 0.5 0.378 2.2 14.3 8.2 12.2 0.8 0.4 20.3 40
Sasha Kaun 0.527 0 0.647 14.4 16.5 15.5 4.5 2.2 4.3 24.3 25
Ryan Kelly 0.44 0.248 0.362 4.6 23.7 13.8 6.9 1.4 1.7 9.4 36
Michael Kidd-Gilchrist 0.603 0.115 0.475 6.3 17.8 12 7.3 0.7 1.2 9.8 7
Sean Kilpatrick 0.576 0.422 0.248 2.1 8.2 5.1 8 1 0.3 9.4 31
Sean Kilpatrick 0.551 0.81 0.381 2.7 5.5 4.1 5.4 1.2 0 14 8
Sean Kilpatrick 0.578 0.39 0.237 2.1 8.6 5.3 8.4 0.9 0.3 8.9 23
Brandon Knight 0.522 0.392 0.204 2 9.9 5.9 24.4 1.6 0.9 15.4 52
Kyle Korver 0.578 0.644 0.088 0.7 10.9 5.9 9.9 1.2 1.1 13.3 80
Kosta Koufos 0.54 0 0.234 12.4 18.4 15.4 3.3 1.3 3.8 8.9 78
Jeremy Lamb 0.529 0.355 0.173 3.9 18.7 11.2 10.9 1.7 2 8.4 66
Carl Landry 0.605 0.052 0.364 9.1 19.2 14 11.1 1 1.2 7.1 36
Shane Larkin 0.515 0.215 0.213 1.8 9.9 5.8 29.3 2.7 0.6 21 78
Joffrey Lauvergne 0.567 0.139 0.182 8.1 23.1 15.4 9.1 0.6 1.2 11.6 59
Zach LaVine 0.548 0.33 0.212 1.4 10.1 5.8 18.6 1.5 0.6 12.9 82
Ty Lawson 0.476 0.305 0.243 2 7.4 4.7 24.6 1.9 0.4 19.5 66
Ty Lawson 0.48 0.328 0.279 1.9 6.5 4.2 22.3 1.8 0.4 20.3 53
Ty Lawson 0.46 0.209 0.09 2.8 11.6 7.2 36.1 2.1 0.3 15.7 13
Courtney Lee 0.551 0.34 0.185 1.4 8.7 4.9 9.1 1.9 1.1 9.4 79
Courtney Lee 0.556 0.329 0.22 1.4 7.9 4.5 8.1 1.8 1 9.6 51
Courtney Lee 0.54 0.359 0.118 1.3 10.1 5.6 10.9 2 1.2 9 28
David Lee 0.568 0.003 0.278 12 24.6 18.3 15.5 1.2 2.5 14.9 55
David Lee 0.499 0.005 0.266 9.1 20.4 14.7 18.3 1.2 2.2 15.1 30
David Lee 0.66 0 0.294 15.2 29.1 22.2 12.5 1.2 2.9 14.8 25
Alex Len 0.482 0.011 0.383 10.4 25.4 17.7 8.5 1 2.8 16.6 78
Kawhi Leonard 0.616 0.267 0.306 4.7 18.4 11.8 13 2.8 2.3 7.8 72
Meyers Leonard 0.561 0.524 0.106 4.1 21.4 12.8 10.6 0.3 1.1 14.5 61
Jon Leuer 0.555 0.236 0.217 6.4 26.3 16.1 9.6 1.5 2 12.8 67
Damian Lillard 0.56 0.414 0.315 1.8 10.4 6.1 33.6 1.2 0.8 12.6 75
Jeremy Lin 0.534 0.31 0.401 2.2 11.4 6.8 18.6 1.4 1.7 14.9 78
Shaun Livingston 0.581 0.032 0.245 3.2 8.5 6 21 1.8 1.3 15.7 78
Kevon Looney 0.643 0.286 0 21.8 29.1 25.6 0 0 0 12.5 5
Brook Lopez 0.562 0.012 0.348 9.2 17.2 13.1 10.8 1.2 4.1 11.6 73
Robin Lopez 0.574 0.002 0.243 13.4 16.2 14.8 8.5 0.4 4.4 15.4 82
Kevin Love 0.553 0.449 0.321 7 28.4 17.8 12.2 1.2 1.4 11.3 77
Kyle Lowry 0.578 0.457 0.41 2.2 12.3 7.3 29.9 2.9 1 13.7 77
Trey Lyles 0.517 0.294 0.188 5 20.2 12.6 7.1 1 1.1 12.1 80
Shelvin Mack 0.507 0.301 0.147 1.4 12.5 7 30.6 1.7 0.2 17.7 52
Shelvin Mack 0.464 0.284 0.126 1.2 11.9 6.7 36.9 2.2 0 12.3 24
Shelvin Mack 0.52 0.306 0.153 1.5 12.6 7 29.3 1.6 0.3 19.2 28
Ian Mahinmi 0.603 0 0.502 8.3 22.1 15.3 8.9 1.8 3.3 15.5 71
Devyn Marble 0.368 0.451 0.338 2.6 14.4 8.5 6.6 2.6 0.3 7.9 28
Boban Marjanovic 0.662 0 0.655 16.9 26.2 21.7 6.6 1.2 3.5 11.5 54
Kendall Marshall 0.449 0.415 0.11 0.5 7.3 3.8 28.4 2 0.4 25.8 30
Jarell Martin 0.534 0.017 0.534 11.2 14.7 12.9 6.4 1.1 1.7 11.7 27
Kevin Martin 0.52 0.325 0.411 1.5 10 5.8 8.2 1.2 0.2 9.8 55
Kevin Martin 0.523 0.308 0.425 1.4 9.8 5.6 8.8 1 0.1 9.4 39
Kevin Martin 0.504 0.388 0.353 1.8 10.6 6.3 6.4 1.8 0.6 11.7 16
Wesley Matthews 0.532 0.615 0.171 1.1 8.8 4.9 8.9 1.5 0.5 7.8 78
O.J. Mayo 0.474 0.505 0.125 1.4 9.6 5.5 15.8 2.2 0.6 17.5 41
Luc Mbah-a-Moute 0.498 0.193 0.275 5.2 9.4 7.3 3.3 1.7 1.2 12.8 75
James Michael-McAdoo 0.554 0.024 0.583 13.1 10.9 11.9 9.2 1.8 2.2 13.2 41
Ray McCallum 0.449 0.288 0.103 1.9 9.3 5.6 18.5 1.3 1.2 13.6 41
Ray McCallum 0.476 0.239 0.149 2.8 10.8 6.9 17.7 1 1.2 13.3 31
Ray McCallum 0.425 0.329 0.063 1 7.6 4.2 19.5 1.6 1.3 13.8 10
C.J. McCollum 0.544 0.33 0.158 1.8 8.3 5 21.6 1.7 0.6 11.4 80
T.J. McConnell 0.511 0.192 0.088 2.8 14.5 8.5 37.2 2.9 0.5 22.5 81
Chris McCullough 0.47 0.312 0.211 7.6 13.6 10.5 3.7 3.9 2.7 11.2 24
K.J. McDaniels 0.522 0.347 0.417 7.5 12.3 9.9 6.5 1.5 2.1 16.6 37
Doug McDermott 0.561 0.402 0.13 2.1 8.8 5.5 5 0.4 0.2 7.2 81
Mitch McGary 0.474 0.174 0.435 6.4 20.1 13.6 6 0.7 2.1 20.3 20
JaVale McGee 0.574 0.007 0.269 15.8 23.7 19.7 1.5 0.7 5.9 12.3 34
Ben McLemore 0.531 0.407 0.226 2.6 8.5 5.6 7.9 1.7 0.6 16.5 68
Jordan McRae 0.548 0.282 0.359 2.3 9.2 5.7 20.9 0.7 0.4 14.2 22
Jordan McRae 0.567 0.423 0.577 2.6 8.1 5.3 19.1 1.8 0 15.5 7
Jordan McRae 0.537 0.212 0.25 2 9.9 6 22.3 0 0.7 13.5 15
Josh McRoberts 0.453 0.331 0.27 4.3 15.3 10 19.4 1.6 0.9 15.3 42
Jodie Meeks 0.506 0.45 0.2 2.4 10.6 6.3 11.3 0 0 4.4 3
Salah Mejri 0.636 0.013 0.59 11.4 22.6 17 3.9 1 7.6 19 34
Jordan Mickey 0.398 0 0.455 11 13.3 12.1 2.6 0 15.1 3.6 16
Khris Middleton 0.56 0.316 0.273 1.8 10.2 6 18.9 2.3 0.6 12.3 79
C.J. Miles 0.547 0.61 0.196 1.9 11.1 6.5 7 1.8 1.6 9.2 64
Andre Miller 0.6 0.075 0.302 3.1 9.5 6.4 28.3 1.8 0 23.6 39
Andre Miller 0.663 0.069 0.328 2.5 7.4 5 31.9 1.6 0 27.4 26
Andre Miller 0.521 0.083 0.271 3.9 12.8 8.5 22.6 2 0 18.3 13
Mike Miller 0.508 0.839 0 1.8 14.2 7.9 14.9 1.7 0.9 21.5 47
Patrick Mills 0.541 0.523 0.095 1.9 8.7 5.4 20.1 1.8 0.3 10.7 81
Elijah Millsap 0.384 0.308 0.462 4.1 19.5 11.8 16.2 2.1 1.5 16.1 20
Paul Millsap 0.556 0.218 0.383 8.4 21.5 15.1 16.4 2.7 4.1 13.3 81
Nikola Mirotic 0.564 0.568 0.297 3.8 19.1 11.6 9.4 1.8 2 12.9 66
Nazr Mohammed 0.68 0 0.4 6.1 16.3 11.5 0 0 0 33.8 5
Greg Monroe 0.562 0.001 0.327 10.9 23.4 17.2 13.2 1.6 2.5 10.7 79
Luis Montero 0.337 0.474 0.211 0 10.3 5.2 3.5 0 0 16.2 12
E'Twaun Moore 0.548 0.267 0.09 1.6 9.3 5.5 12.1 1.5 1 11.6 59
Eric Moreland 0.515 0 0.667 6.8 17.9 12.4 2.7 0 6.7 27.9 8
Marcus Morris 0.531 0.315 0.287 3.3 12.4 7.7 11 1.2 0.6 11.6 80
Markieff Morris 0.489 0.216 0.205 4.8 19.3 11.9 12.7 1.7 1.7 14.7 64
Markieff Morris 0.456 0.176 0.213 5 18.3 11.5 16.1 1.8 1.5 16 37
Markieff Morris 0.538 0.275 0.192 4.6 20.5 12.4 8.2 1.7 1.9 12.6 27
Anthony Morrow 0.543 0.613 0.117 1.2 5.8 3.6 3.7 1.2 0.4 4.6 68
Donatas Motiejunas 0.504 0.278 0.259 7.4 14.6 11 12.2 1.5 0.8 16.2 37
Timofey Mozgov 0.593 0.019 0.265 9.5 19.2 14.4 3.9 0.9 3.5 15 76
Emmanuel Mudiay 0.437 0.256 0.231 1.7 10.9 6.2 29 1.6 1.4 17.9 68
Shabazz Muhammad 0.548 0.223 0.355 7 11.4 9.2 5.2 0.7 0.3 8.2 82
Xavier Munford 0.481 0.299 0.182 1.3 13.7 7.2 14.3 2.7 1.1 15.3 14
Mike Muscala 0.576 0.257 0.257 7.5 14.9 11.3 9.1 1.1 3.8 13.8 60
Larry Nance-Jr. 0.544 0.033 0.157 8.3 18.6 13.3 5.7 2.1 1.4 11.3 63
Shabazz Napier 0.46 0.517 0.224 1.6 8.6 5.1 23.1 1.9 0.1 17.2 55
Gary Neal 0.558 0.308 0.169 1.5 10.2 5.8 9.2 1.2 0.1 7.7 40
Jameer Nelson 0.464 0.469 0.114 2 10.4 6.2 27.3 1.2 0.4 17 39
Raul Neto 0.53 0.388 0.167 1.3 8 4.7 18.7 2.2 0.1 19.5 81
Andrew Nicholson 0.567 0.368 0.21 4.5 22.8 13.5 4.8 0.6 2.2 10.8 56
Joakim Noah 0.406 0.008 0.338 14.7 27.3 21.1 24.2 1.4 3.3 25.4 29
Nerlens Noel 0.544 0.003 0.387 8.2 22.2 15 10.5 2.9 3.9 18.7 67
Lucas Nogueira 0.642 0.068 0.341 9.3 14 11.7 4.9 2.8 4.4 17.9 29
Steve Novak 0.651 0.833 0.056 0 12 6.2 0 0 0 5.1 10
Steve Novak 0.708 0.75 0 0 17.2 9.1 0 0 0 7.7 7
Steve Novak 0.543 1 0.167 0 5.7 2.9 0 0 0 0 3
Dirk Nowitzki 0.555 0.308 0.252 2.4 20.3 11.4 10.1 1.1 1.8 6.4 75
Jusuf Nurkic 0.46 0.012 0.409 12.9 22.7 17.7 12.3 2.2 6.5 16.1 32
Johnny O'Bryant 0.441 0.005 0.191 8.7 14.7 11.7 5.4 1.1 0.8 12 66
Kyle O'Quinn 0.52 0.081 0.221 11 24.5 17.9 15.9 1.3 4.9 17 65
Jahlil Okafor 0.536 0.008 0.248 8.1 17.8 12.8 8.2 0.7 2.9 12.5 53
Victor Oladipo 0.534 0.291 0.255 2.2 14 8 18.6 2.4 1.9 12.4 72
Kelly Olynyk 0.561 0.378 0.23 5.4 16.2 10.7 11.9 1.8 1.8 10.8 69
Kelly Oubre 0.507 0.374 0.232 4.1 18.4 11.1 2.8 1.6 0.8 12.8 63
Zaza Pachulia 0.55 0.006 0.587 13.7 25.7 19.7 9.7 1.6 0.9 16.8 76
Kostas Papanikolaou 0.464 0.485 0.212 3 12.3 7.5 7.8 2.2 1.4 22.5 26
Jabari Parker 0.535 0.039 0.254 5.9 12.8 9.4 8.9 1.5 1 10.4 76
Tony Parker 0.546 0.092 0.241 1 8.8 5.1 29.1 1.4 0.4 14.3 72
Chandler Parsons 0.589 0.386 0.209 1.8 15.6 8.7 16 1.3 1 11.8 61
Lamar Patterson 0.468 0.613 0.275 1.1 12.4 6.9 13.6 1.1 0.4 20.4 35
Patrick Patterson 0.534 0.594 0.069 4.4 14.8 9.7 7.1 1.4 1.3 11.3 79
Chris Paul 0.575 0.295 0.294 1.8 12 7 52.7 3.1 0.4 13.4 74
Adreian Payne 0.422 0.221 0.179 4.8 21.5 13.3 8.9 1.7 1.8 18.7 52
Cameron Payne 0.49 0.399 0.086 1.5 11.2 6.6 22.5 2.6 0.7 13.2 57
Elfrid Payton 0.478 0.126 0.26 3.9 9.6 6.7 32.8 2.1 0.8 17.9 73
Nikola Pekovic 0.459 0 0.4 5.3 10.3 7.8 10.7 0.3 0 13.3 12
Kendrick Perkins 0.529 0 0.333 4.9 21.8 13.1 7.9 1 1.7 32.3 37
Paul Pierce 0.489 0.61 0.166 1.1 15.2 8.2 8.5 1.3 1.1 12 68
Tibor Pleiss 0.464 0.08 0.08 8.6 12.8 10.7 4 0.6 2.1 23.6 12
Mason Plumlee 0.564 0.008 0.648 10.4 22.2 16.3 16.2 1.6 3.2 18.8 82
Miles Plumlee 0.606 0 0.253 12.5 18 15.2 2.9 1.2 4.9 13.4 61
Otto Porter 0.564 0.372 0.176 4.7 14.7 9.6 7.9 2.2 1.1 8.3 75
Bobby Portis 0.469 0.119 0.151 12 20 16.1 7.5 1.1 1.5 10.4 62
Kristaps Porzingis 0.518 0.274 0.271 7.1 20.7 14 7.8 1.3 5 10.9 72
Dwight Powell 0.557 0.054 0.48 9.3 20.9 15.1 7.2 1.8 2 10 69
Norman Powell 0.541 0.389 0.231 2.6 14.8 8.8 10.4 2.1 1.1 11.3 49
Phil Pressey 0.433 0.231 0.321 1.1 11.1 6 40.7 3.1 1.1 27 23
Phil Pressey 0.437 0.236 0.327 0 15.2 7.4 43.2 3.2 0.4 23.2 14
Phil Pressey 0.422 0.217 0.304 2.8 4.9 3.8 37 3 2.2 34.9 9
Ronnie Price 0.517 0.649 0.136 2.2 6.8 4.4 17.9 3 0.9 17.9 62
Pablo Prigioni 0.482 0.646 0.054 5.1 9.9 7.5 21.8 3.2 0.1 24.6 59
Tayshaun Prince 0.466 0.1 0.083 2.6 9 5.8 7 1.2 0.7 10.2 77
Julius Randle 0.482 0.043 0.323 7.8 32 19.5 11 1.2 1 13.5 81
Zach Randolph 0.519 0.029 0.238 9.7 20.7 15 12.9 1.1 0.6 9.5 68
J.J. Redick 0.632 0.478 0.233 0.5 6.6 3.6 8.6 1 0.2 7.4 75
Willie Reed 0.579 0 0.414 12.7 19.6 16.1 3.8 0.7 5.7 9.2 39
Josh Richardson 0.569 0.423 0.232 2.2 8.5 5.5 9.7 1.7 1.7 10.5 52
Austin Rivers 0.523 0.359 0.225 1.7 7.9 4.8 10.6 1.6 0.5 9.7 67
Andre Roberson 0.566 0.376 0.197 5.9 11.4 8.8 4 1.7 2 10.5 70
Brian Roberts 0.552 0.255 0.285 1.4 8.2 4.8 18.6 1.1 0.3 11 51
Brian Roberts 0.552 0.235 0.322 1.3 8.3 4.8 18.7 1.1 0.2 10.9 30
Brian Roberts 0.551 0.3 0.2 1.6 7.9 4.7 18.5 1.1 0.6 11.4 21
Glenn Robinson 0.508 0.245 0.258 2.6 12 7.3 7.7 1.7 1.4 9.7 45
Nate Robinson 0 1 0 0 0 0 21.8 2.2 0 0 2
Thomas Robinson 0.453 0.003 0.375 16.4 27.8 22 7.7 2.1 3.2 16.9 71
Rajon Rondo 0.506 0.217 0.192 3.3 15.2 9.3 48 2.7 0.3 24.7 72
Derrick Rose 0.479 0.143 0.171 2.4 8.8 5.6 25.5 1.1 0.5 13.4 66
Terrence Ross 0.551 0.542 0.099 1.4 10.6 6.1 5.3 1.6 1.2 6.6 73
Terry Rozier 0.326 0.255 0.094 8.1 13.5 10.8 16.5 0.9 0.3 14.7 39
Ricky Rubio 0.529 0.324 0.536 2 14.1 8.2 41.4 3.5 0.4 21 76
Damjan Rudez 0.572 0.806 0.129 2.1 6.2 4.2 5.8 0.5 0.3 16.6 33
Brandon Rush 0.56 0.604 0.108 2.3 15.4 9.2 7 0.9 1.6 10.8 72
D'Angelo Russell 0.507 0.387 0.199 2.2 11.2 6.5 21.2 2.1 0.5 15.9 80
Robert Sacre 0.474 0 0.507 10.4 13.9 12.1 6.9 0.6 2.5 11.6 25
JaKarr Sampson 0.504 0.199 0.385 4.2 14 9 6.2 1 2.2 15.9 73
JaKarr Sampson 0.49 0.168 0.48 4.6 16.1 10.2 6.9 0.8 1.8 17.2 47
JaKarr Sampson 0.532 0.252 0.217 3.7 10.8 7.2 5.1 1.3 3 13.1 26
Dennis Schroder 0.51 0.306 0.233 1.7 11.8 6.9 36.1 2.1 0.4 17.5 80
Luis Scola 0.523 0.269 0.14 6 19 12.6 6.8 1.5 1.4 9.7 76
Mike Scott 0.575 0.42 0.168 5.2 14.2 9.8 10.5 1.1 1.2 9.4 75
Thabo Sefolosha 0.578 0.333 0.266 3.3 17.1 10.4 8.8 2.4 1.7 14.1 75
Kevin Seraphin 0.435 0.01 0.112 6.5 19.5 13.1 14.8 0.8 5.2 16.7 48
Ramon Sessions 0.565 0.188 0.478 1.6 12.2 6.8 22 1.3 0.2 13.8 82
Iman Shumpert 0.475 0.479 0.167 2.8 14.6 8.7 9.8 2.1 1.2 14.8 54
Jonathon Simmons 0.586 0.194 0.38 2.3 10.8 6.7 10.4 1.5 0.5 15.8 55
Henry Sims 0.504 0 0.39 8.8 22.2 15.4 5.1 1.7 4.3 11.7 14
Kyle Singler 0.481 0.439 0.199 5.9 9.6 7.9 3.2 1.5 0.7 11.7 68
Donald Sloan 0.536 0.283 0.297 1.4 13.5 7.4 30 1.2 0.2 16.8 61
Marcus Smart 0.463 0.456 0.314 4.8 11.6 8.1 15.8 2.7 0.8 11.7 61
Greg Smith 0.545 0 0.531 7.4 17.9 12.7 4.6 1.1 0.4 15.1 18
Ish Smith 0.465 0.176 0.182 2 13.3 7.5 38.3 1.9 0.8 14.4 77
Ish Smith 0.484 0.145 0.189 2.4 14.5 8.3 39.1 1.9 0.8 15.4 27
Ish Smith 0.46 0.185 0.18 1.9 12.8 7.1 37.9 1.9 0.8 14 50
J.R. Smith 0.542 0.6 0.084 2.1 8.3 5.2 8.5 1.8 0.7 6.3 77
Jason Smith 0.513 0.032 0.133 4.9 15.8 10.3 8.6 1.4 4.6 9.7 76
Josh Smith 0.439 0.41 0.192 6.4 17.4 11.9 15.9 1.9 4.3 16.9 55
Josh Smith 0.456 0.322 0.233 8 21.5 14.8 14.3 2 5.8 17.1 32
Josh Smith 0.419 0.503 0.148 4.7 12.9 8.8 17.7 1.9 2.6 16.7 23
Russ Smith 0.415 0.227 0.591 1.7 14.4 7.8 25.4 3.9 1.4 20.2 15
Tony Snell 0.478 0.457 0.097 1.6 14.3 8.1 6.9 0.6 1 12.8 64
Marreese Speights 0.506 0.136 0.25 10.6 19.8 15.5 11.4 1.1 3 11.5 72
Tiago Splitter 0.571 0.013 0.31 8.7 13.8 11.3 7.9 1.7 1.6 12 36
Nik Stauskas 0.517 0.596 0.217 1.3 10 5.5 12 1.2 0.8 13.6 73
Lance Stephenson 0.548 0.165 0.234 3.2 15.1 9.1 16.2 1.6 0.6 15.2 69
Lance Stephenson 0.569 0.283 0.181 3.1 14 8.7 13.1 1.8 0.3 21.1 43
Lance Stephenson 0.537 0.101 0.263 3.3 16.2 9.5 19.2 1.4 0.8 11.8 26
Alex Stepheson 0.341 0 0.444 28.5 14.5 21.8 4.3 0.7 6 0 8
Alex Stepheson 0.532 0 2 9.2 8.9 9.1 0 0 13.1 0 4
Alex Stepheson 0.329 0 0.385 32.3 15.6 24.3 5.2 0.8 4.6 0 4
Jarnell Stokes 0.595 0 0.4 6.1 18.8 12.6 9.6 2.8 0 0 7
Jarnell Stokes 0 0 0 27.3 29.8 28.5 0 0 0 0 2
Jarnell Stokes 0.595 0 0.4 0 15.7 8.1 12.3 3.7 0 0 5
Amar'e Stoudemire 0.599 0 0.303 10 22.6 16.5 5.6 1.2 4.1 15.8 52
Rodney Stuckey 0.504 0.187 0.357 1.6 11.7 6.7 17.2 1.7 0.5 12.9 58
Jared Sullinger 0.476 0.128 0.2 10.6 27 18.7 15.5 1.9 1.9 10.4 81
Walter Tavares 0.555 0 0.421 10.7 20.5 15.7 6.3 0.7 6.5 18.2 11
Jeff Teague 0.551 0.278 0.316 1.6 8.6 5.2 34.4 2.1 0.8 16.2 79
Mirza Teletovic 0.571 0.592 0.199 3.5 16.3 9.7 9.1 0.9 1 9 79
Garrett Temple 0.52 0.511 0.248 2 10.3 6.1 10 1.7 0.7 10.3 80
Jason Terry 0.54 0.694 0.088 1.2 5.7 3.5 12.4 1.8 0.6 11.1 72
Isaiah Thomas 0.562 0.336 0.394 1.8 8 4.9 32.7 1.7 0.3 11.9 82
Lance Thomas 0.557 0.285 0.312 2.9 8 5.4 6.4 0.9 0.4 11.6 59
Hollis Thompson 0.525 0.576 0.141 2.6 11.4 6.9 7.4 0.8 0.8 9.5 77
Jason Thompson 0.558 0.139 0.5 7.9 23.4 15.9 8.5 1.3 3.3 10.2 47
Jason Thompson 0.535 0 0.762 6.4 25 16.2 13.9 1.1 3.3 11.1 28
Jason Thompson 0.575 0.227 0.333 8.8 22.4 15.7 5.3 1.4 3.4 9.6 19
Klay Thompson 0.597 0.469 0.159 1.5 10.3 6.2 9.8 1.1 1.4 8.5 80
Tristan Thompson 0.611 0 0.576 13.5 23.3 18.4 4 0.9 1.8 10.4 82
Marcus Thornton 0.511 0.498 0.146 3.8 11.3 7.5 12.9 2.1 0.3 8.1 61
Marcus Thornton 0.512 0.497 0.133 3.8 10.5 7.2 12.8 1.9 0.3 8 47
Marcus Thornton 0.508 0.505 0.196 3.4 14.3 8.7 13.4 2.8 0.4 8.6 14
Anthony Tolliver 0.543 0.819 0.142 3.1 16.1 9.3 5.6 1 0.9 7.4 72
Axel Toupane 0.49 0.571 0.243 2.9 8.5 5.6 7 1.2 1.6 7.2 21
Karl-Anthony Towns 0.59 0.076 0.239 10.2 27.5 19 11.3 1.1 4.3 12.6 82
P.J. Tucker 0.506 0.354 0.244 6.9 15.2 10.9 10.2 2 0.6 14.7 82
Evan Turner 0.513 0.11 0.238 2.3 16.5 9.3 23.9 1.7 1 16.9 81
Myles Turner 0.531 0.026 0.228 5.5 21 13.3 5 0.9 5.1 10.3 60
Beno Udrih 0.496 0.222 0.101 1.3 10 5.8 24.9 1 0.1 20.4 44
Beno Udrih 0.497 0.239 0.065 1.8 7 4.3 36.4 1.3 0.8 18.9 8
Beno Udrih 0.495 0.217 0.112 1.2 10.7 6.1 22.5 1 0 20.8 36
Jonas Valanciunas 0.61 0 0.397 13.8 26.3 20.1 4.8 0.8 4.2 11.9 60
Anderson Varejao 0.473 0.008 0.403 8.5 22.8 15.8 9.8 1.6 1.6 13.1 53
Anderson Varejao 0.469 0.013 0.276 8.8 24.3 16.6 9.3 1.8 1.3 15.8 31
Anderson Varejao 0.477 0 0.604 8 20.2 14.5 10.5 1.3 2 9 22
Greivis Vasquez 0.435 0.529 0.188 1.3 10.3 5.8 28.5 1.1 0 21.1 23
Rashad Vaughn 0.398 0.553 0.056 1.3 8.7 5 5.5 1.5 1.4 9.3 70
Charlie Villanueva 0.473 0.526 0.073 4 21.1 12.5 6.2 1.4 1.9 8.4 62
Noah Vonleh 0.471 0.165 0.183 8.4 19.8 14.1 3.7 1.2 1.7 14.3 78
Nikola Vucevic 0.531 0.009 0.143 9.3 22.2 15.7 15.9 1.3 2.8 10 65
Sasha Vujacic 0.503 0.516 0.141 3.2 14.6 9 14.3 1.9 0.4 13 61
Dwyane Wade 0.517 0.037 0.343 4.3 10.7 7.6 27.4 1.8 1.4 13 74
Dion Waiters 0.492 0.34 0.222 1.9 8 5.1 10 1.9 0.5 13.4 78
Kemba Walker 0.554 0.368 0.329 2.1 11.5 6.8 25.7 2.2 1.1 10.1 81
John Wall 0.51 0.243 0.255 1.7 13.8 7.6 46.2 2.5 1.7 17.5 77
T.J. Warren 0.549 0.159 0.145 5.7 9.3 7.5 7.2 1.7 1.2 6.4 47
C.J. Watson 0.461 0.35 0.285 1.7 9.6 5.6 18.1 1.4 0.6 14 33
Briante Weber 0.38 0.128 0.103 5.2 11.9 8.4 18.6 2.7 1.6 18.1 7
Briante Weber 0.365 0.132 0.105 5.3 11.5 8.2 17.6 2.8 1.7 18.5 6
Briante Weber 1 0 0 0 36.6 18.9 72.3 0 0 0 1
Sonny Weems 0.459 0.373 0.136 1.5 10.3 5.8 14.2 1 0.2 26 43
Sonny Weems 0.475 0.36 0.146 1.5 9.2 5.3 16.2 1.2 0.2 28.1 36
Sonny Weems 0.388 0.429 0.095 1.3 15.9 8.4 3.9 0 0 15.5 7
David West 0.573 0.016 0.179 6 18.6 12.5 15.4 1.6 3 12.3 78
Russell Westbrook 0.554 0.236 0.397 6.1 18.1 12.4 49.6 2.9 0.6 16.8 80
Hassan Whiteside 0.629 0 0.482 13.1 32.4 23.1 2.4 1.1 9.7 14.2 73
Shayne Whittington 0.463 0.182 0.182 13.4 18.6 16 10.9 1.2 2 29.6 7
Andrew Wiggins 0.543 0.147 0.437 4.4 7.5 6 10.1 1.4 1.3 10.6 81
C.J. Wilcox 0.491 0.348 0.182 0.7 7.1 3.9 9.4 3 0.9 2.7 23
Alan Williams 0.481 0 0.583 21.9 39.2 30.3 11.7 2.9 6 16.6 10
Deron Williams 0.53 0.364 0.266 1 8.9 5 29.3 1.5 0.6 14.8 65
Derrick Williams 0.55 0.265 0.453 3.6 18.7 11.3 8.9 1 0.5 8.3 80
Elliot Williams 0.34 0.4 0.4 2.4 7.9 5.1 12.4 0 0 7.8 5
Lou Williams 0.584 0.462 0.612 1.7 8.1 4.8 15.1 1.6 0.8 10.8 67
Marvin Williams 0.585 0.506 0.193 5.9 18.6 12.2 7.6 1.2 2.7 7.1 81
Mo Williams 0.527 0.338 0.139 0.9 9.9 5.4 21.1 1 0.5 15.1 41
Justise Winslow 0.489 0.251 0.253 4.2 15.8 10.2 7.4 1.6 0.9 15.6 78
Jeff Withey 0.577 0.012 0.364 10 20.7 15.4 5 1.7 6.8 13 51
Christian Wood 0.49 0.208 0.396 9.4 19.4 14.3 3.5 1.7 3.7 3.1 17
Metta World-Peace 0.435 0.475 0.322 3.4 13.2 8.1 7.2 1.9 1.5 6.9 35
Brandan Wright 0.663 0 0.462 7.2 16.3 11.6 4.7 1.2 6.6 13.8 12
Delon Wright 0.54 0.163 0.438 4.1 14.3 9.3 22.5 1.8 1.1 14.4 27
Tony Wroten 0.412 0.262 0.569 1.5 14.9 7.9 23.3 1 0 26.3 8
James Young 0.384 0.722 0.111 2.1 11.9 6.9 6 1.5 0.4 11.7 29
Joseph Young 0.428 0.272 0.148 1.7 12.5 7.1 26.9 1.9 0 15.5 41
Nick Young 0.483 0.637 0.204 1.4 9 5.1 5.4 1.1 0.5 6.9 54
Thaddeus Young 0.533 0.031 0.169 8.1 23 15.4 9.5 2.3 1.2 11.6 73
Cody Zeller 0.592 0.023 0.531 8.4 19.7 14 6.3 1.6 2.9 11.2 73
Tyler Zeller 0.539 0 0.372 9.1 17.6 13.3 6.6 0.7 2.4 12 60
